"","ntree","mtry","replace","nodesize","classwt","cutoff","maxnodes","results5"
"1","-1","1","-1","-1","1","-1","1",0.819866060649585
"2","1","-1","-1","1","-1","-1","1",0.59223232869792
"3","1","1","1","1","1","1","1",0.740831409477772
"4","1","1","-1","1","1","1","-1",0.725278278045573
"5","-1","1","-1","1","1","-1","-1",0.54202456880665
"6","1","-1","1","-1","1","-1","-1",0.5
"7","1","-1","1","1","-1","-1","-1",0.587530681601028
"8","1","-1","1","-1","1","1","1",0.778158891896343
"9","-1","1","1","-1","1","-1","-1",0.533124892431246
"10","-1","1","-1","-1","-1","-1","-1",0.589658319331338
"11","-1","1","1","-1","-1","-1","1",0.815140781961385
"12","-1","-1","-1","-1","-1","-1","1",0.777558856875877
"13","-1","1","1","-1","-1","1","-1",0.5
"14","-1","-1","1","-1","-1","-1","-1",0.580898874433574
"15","1","1","1","1","1","-1","-1",0.542631364923155
"16","1","1","1","-1","1","-1","1",0.820569513869714
"17","-1","-1","1","1","-1","-1","1",0.596618226676721
"18","1","1","1","-1","-1","-1","-1",0.587893059323471
"19","-1","-1","-1","1","-1","1","1",0.5
"20","-1","1","1","1","1","-1","1",0.570292004540898
"21","-1","-1","1","1","1","-1","-1",0.5
"22","1","-1","1","1","-1","1","1",0.5
"23","-1","-1","1","1","-1","1","-1",0.5
"24","-1","1","1","1","-1","-1","-1",0.589678545868555
"25","1","1","-1","-1","1","-1","-1",0.537412918321213
"26","-1","1","1","-1","1","1","1",0.688949469616393
"27","1","1","1","1","-1","1","-1",0.5
"28","-1","-1","-1","-1","-1","1","-1",0.5
"29","1","1","-1","-1","-1","1","-1",0.5
"30","1","1","1","1","-1","-1","1",0.592960171907767
"31","-1","-1","-1","1","1","1","-1",0.69525713627109
"32","1","1","-1","-1","-1","-1","1",0.8153940122227
"33","-1","-1","-1","-1","1","-1","-1",0.500020226537217
"34","-1","-1","-1","1","1","-1","1",0.521699986668697
"35","1","1","1","-1","-1","1","1",0.657030010186271
"36","1","1","1","-1","1","1","-1",0.714707813856218
"37","-1","1","-1","1","1","1","1",0.741201662677594
"38","-1","-1","1","-1","-1","1","1",0.618187038795742
"39","1","-1","-1","-1","-1","-1","-1",0.587530681601028
"40","1","-1","-1","1","-1","1","-1",0.5
"41","1","-1","-1","-1","1","1","-1",0.656888922285935
"42","-1","1","-1","-1","-1","1","1",0.655065572571196
"43","-1","1","-1","1","-1","1","-1",0.5
"44","-1","1","1","1","-1","1","1",0.503574060855127
"45","-1","-1","1","1","1","1","1",0.741793783526885
"46","-1","1","-1","-1","1","1","-1",0.717701653494267
"47","1","1","-1","1","-1","1","1",0.502979927928419
"48","-1","-1","1","-1","1","1","-1",0.657668493942512
"49","-1","-1","-1","1","-1","-1","-1",0.586319101445435
"50","1","-1","-1","-1","1","-1","1",0.769632159229409
"51","1","-1","1","-1","-1","-1","1",0.783109082146001
"52","1","1","-1","1","-1","-1","-1",0.587530681601028
"53","-1","-1","1","-1","1","-1","1",0.771230055669539
"54","1","-1","-1","1","1","-1","-1",0.5
"55","1","-1","-1","1","1","1","1",0.734147840328965
"56","1","-1","-1","-1","-1","1","1",0.621146740186944
"57","1","1","-1","-1","1","1","1",0.695114054350442
"58","-1","1","-1","1","-1","-1","1",0.593279008790818
"59","-1","-1","-1","-1","1","1","1",0.776984364920266
"60","1","1","-1","1","1","-1","1",0.575617759358843
"61","1","-1","1","1","1","1","-1",0.691172451440833
"62","-1","1","1","1","1","1","-1",0.723132253023172
"63","1","-1","1","1","1","-1","1",0.520509708737864
"64","1","-1","1","-1","-1","1","-1",0.5
