"","nodesize","classwt","cutoff","maxnodes","Blocks","results.doe"
"1","-1","1","-1","-1",".1",0.505926375404531
"2","1","-1","-1","1",".1",0.592594706420364
"3","1","1","1","1",".1",0.740160533854699
"4","1","1","-1","1",".1",0.556688808288851
"5","-1","1","-1","1",".1",0.809465702128344
"6","1","-1","1","-1",".1",0.5
"7","-1","-1","1","1",".1",0.644293985766461
"8","-1","1","1","-1",".1",0.705846578477829
"9","1","-1","1","1",".1",0.5
"10","-1","-1","-1","1",".1",0.811736336652952
"11","-1","-1","-1","-1",".1",0.587530681601028
"12","-1","-1","1","-1",".1",0.5
"13","1","1","-1","-1",".1",0.500950647249191
"14","-1","1","1","1",".1",0.733329484590376
"15","1","-1","-1","-1",".1",0.587530681601028
"16","1","1","1","-1",".1",0.717206953306184
"17","-1","1","1","1",".2",0.733324696877958
"18","-1","-1","1","1",".2",0.644270671464285
"19","-1","-1","-1","1",".2",0.810607050463727
"20","1","1","-1","1",".2",0.553978452301796
"21","1","-1","1","1",".2",0.5
"22","1","1","1","1",".2",0.740644270800444
"23","1","1","-1","-1",".2",0.500485436893204
"24","-1","1","-1","-1",".2",0.506897249190938
"25","-1","-1","1","-1",".2",0.5
"26","-1","1","1","-1",".2",0.706277511289302
"27","-1","-1","-1","-1",".2",0.587530681601028
"28","-1","1","-1","1",".2",0.809215108204364
"29","1","-1","-1","-1",".2",0.587530681601028
"30","1","-1","1","-1",".2",0.5
"31","1","1","1","-1",".2",0.717527490136693
"32","1","-1","-1","1",".2",0.592574479883147
