"ntree","mtry","replace","nodesize","classwt","cutoff","maxnodes","results5"
"-1","1","-1","-1","1","-1","1",0.818915725530353
"1","-1","-1","1","-1","-1","1",0.592678700334191
"1","1","1","1","1","1","1",0.741206450390013
"1","1","-1","1","1","1","-1",0.726110653836423
"-1","1","-1","1","1","-1","-1",0.537776995991116
"1","-1","1","-1","1","-1","-1",0.5
"1","-1","1","1","-1","-1","-1",0.587530681601028
"1","-1","1","-1","1","1","1",0.777401558854399
"-1","1","1","-1","1","-1","-1",0.529992866927597
"-1","1","-1","-1","-1","-1","-1",0.588295890120349
"-1","1","1","-1","-1","-1","1",0.815308457659081
"-1","-1","-1","-1","-1","-1","1",0.776202603194807
"-1","1","1","-1","-1","1","-1",0.5
"-1","-1","1","-1","-1","-1","-1",0.585933409420815
"1","1","1","1","1","-1","-1",0.543602238709563
"1","1","1","-1","1","-1","1",0.820819483533778
"-1","-1","1","1","-1","-1","1",0.593742519199346
"1","1","1","-1","-1","-1","-1",0.587594448977638
"-1","-1","-1","1","-1","1","1",0.5
"-1","1","1","1","1","-1","1",0.578463525576496
"-1","-1","1","1","1","-1","-1",0.5
"1","-1","1","1","-1","1","1",0.5
"-1","-1","1","1","-1","1","-1",0.5
"-1","1","1","1","-1","-1","-1",0.590530836066663
"1","1","-1","-1","1","-1","-1",0.534743015408592
"-1","1","1","-1","1","1","1",0.690070880328239
"1","1","1","1","-1","1","-1",0.5
"-1","-1","-1","-1","-1","1","-1",0.5
"1","1","-1","-1","-1","1","-1",0.5
"1","1","1","1","-1","-1","1",0.593218329179167
"-1","-1","-1","1","1","1","-1",0.699621280597507
"1","1","-1","-1","-1","-1","1",0.815275740764358
"-1","-1","-1","-1","1","-1","-1",0.5
"-1","-1","-1","1","1","-1","1",0.523503236245955
"1","1","1","-1","-1","1","1",0.656314518036262
"1","1","1","-1","1","1","-1",0.713982746281371
"-1","1","-1","1","1","1","1",0.740249939740861
"-1","-1","1","-1","-1","1","1",0.619821676285429
"1","-1","-1","-1","-1","-1","-1",0.587403146847807
"1","-1","-1","1","-1","1","-1",0.5
"1","-1","-1","-1","1","1","-1",0.66042547853392
"-1","1","-1","-1","-1","1","1",0.656039221992605
"-1","1","-1","1","-1","1","-1",0.5
"-1","1","1","1","-1","1","1",0.502258260248491
"-1","-1","1","1","1","1","1",0.735120414062832
"-1","1","-1","-1","1","1","-1",0.718169951615213
"1","1","-1","1","-1","1","1",0.503298764811469
"-1","-1","1","-1","1","1","-1",0.670214046859323
"-1","-1","-1","1","-1","-1","-1",0.585553892926114
"1","-1","-1","-1","1","-1","1",0.769225928537614
"1","-1","1","-1","-1","-1","1",0.782356224686518
"1","1","-1","1","-1","-1","-1",0.588658267842793
"-1","-1","1","-1","1","-1","1",0.772821776579749
"1","-1","-1","1","1","-1","-1",0.5
"1","-1","-1","1","1","1","1",0.73399667914361
"1","-1","-1","-1","-1","1","1",0.621569797521038
"1","1","-1","-1","1","1","1",0.695686572922432
"-1","1","-1","1","-1","-1","1",0.597100263675007
"-1","-1","-1","-1","1","1","1",0.776626774910241
"1","1","-1","1","1","-1","1",0.573571791334983
"1","-1","1","1","1","1","-1",0.695027844571869
"-1","1","1","1","1","1","-1",0.726202523227628
"1","-1","1","1","1","-1","1",0.520995145631068
"1","-1","1","-1","-1","1","-1",0.5
