"ntree","mtry","replace","nodesize","classwt","cutoff","maxnodes","DoE.RF.results"
"-1","1","-1","-1","1","1","1",0.696174785450637
"1","-1","-1","1","-1","1","1",0.5
"1","1","1","1","1","1","1",0.74186913840575
"1","1","-1","1","1","-1","1",0.575169687775113
"-1","1","-1","1","1","1","-1",0.725835982052682
"1","-1","1","-1","1","-1","1",0.771423057746828
"1","-1","1","1","-1","-1","1",0.592041026568089
"-1","-1","1","1","1","1","1",0.737843121109726
"-1","1","1","-1","1","-1","1",0.818289015006589
"-1","1","-1","-1","-1","1","-1",0.5
"-1","1","1","-1","-1","-1","-1",0.588084361453302
"-1","-1","-1","-1","-1","-1","1",0.778202706171898
"-1","-1","-1","1","1","-1","1",0.523705501618123
"-1","-1","1","-1","-1","1","1",0.617196250602076
"-1","-1","1","1","-1","1","-1",0.5
"1","1","1","-1","-1","1","1",0.655765625896406
"-1","-1","-1","1","-1","-1","-1",0.587403146847807
"-1","1","1","1","-1","-1","1",0.599447305549743
"1","-1","-1","-1","1","1","1",0.779452453888345
"1","1","1","1","-1","1","-1",0.5
"1","1","-1","1","-1","-1","-1",0.587530681601028
"1","-1","-1","1","1","1","-1",0.696190332618066
"-1","1","-1","1","-1","1","1",0.502597323668758
"1","1","-1","-1","-1","-1","1",0.814871210020022
"1","1","1","-1","1","1","-1",0.714987897612294
"1","-1","1","1","1","-1","-1",0.5
"-1","-1","1","-1","1","1","-1",0.665066930981411
"-1","-1","-1","-1","1","-1","-1",0.50006067961165
"1","-1","-1","-1","-1","1","-1",0.5
"1","-1","1","-1","-1","-1","-1",0.587530681601028
"1","1","-1","-1","1","-1","-1",0.536947707965226
"-1","1","1","1","1","-1","-1",0.539637837415065
