"ntree","mtry","replace","nodesize","classwt","cutoff","maxnodes","DoE.RF.results"
"-1","1","-1","-1","1","1","1",0.686931009551524
"1","-1","-1","1","-1","1","1",0.5
"1","1","1","1","1","1","1",0.737439225991147
"1","1","-1","1","1","-1","1",0.563792866715703
"-1","1","-1","1","1","1","-1",0.727527074567606
"1","-1","1","-1","1","-1","1",0.776870183258292
"1","-1","1","1","-1","-1","1",0.589223406688909
"-1","-1","1","1","1","1","1",0.72497060845454
"-1","1","1","-1","1","-1","1",0.820495101388512
"-1","1","-1","-1","-1","1","-1",0.5
"-1","1","1","-1","-1","-1","-1",0.587633679999645
"-1","-1","-1","-1","-1","-1","1",0.777284109295778
"-1","-1","-1","1","1","-1","1",0.508325308939175
"-1","-1","1","-1","-1","1","1",0.615074440271586
"-1","-1","1","1","-1","1","-1",0.5
"1","1","1","-1","-1","1","1",0.655673912058378
"-1","-1","-1","1","-1","-1","-1",0.586130222994382
"-1","1","1","1","-1","-1","1",0.596757580671911
"1","-1","-1","-1","1","1","1",0.77278712472533
"1","1","1","1","-1","1","-1",0.5
"1","1","-1","1","-1","-1","-1",0.591715575027152
"1","-1","-1","1","1","1","-1",0.693828336808455
"-1","1","-1","1","-1","1","1",0.501310207137509
"1","1","-1","-1","-1","-1","1",0.810581697588128
"1","1","1","-1","1","1","-1",0.711389994441219
"1","-1","1","1","1","-1","-1",0.5
"-1","-1","1","-1","1","1","-1",0.648570291959411
"-1","-1","-1","-1","1","-1","-1",0.5
"1","-1","-1","-1","-1","1","-1",0.5
"1","-1","1","-1","-1","-1","-1",0.589558554056084
"1","1","-1","-1","1","-1","-1",0.528018574889141
"-1","1","1","1","1","-1","-1",0.531580603653134
